framerate = 10f
Time (us), Accel_X (mG), Accel_Y (mG), Accel_Z (mG), Gyro_X (mRad/s), Gyro_Y (mRad/s), Gyro_Z (mRad/s), Mag_X (mGauss), Mag_Y (mGauss), Mag_Z (mGauss)
6510442398, -1, -29, -1000, -5, 2, -5, 214, 258, 236
6510442398, -1, -29, -1000, -5, 2, -5, 214, 258, 236
6510542457, 0, -27, -1005, -4, 2, -2, 215, 258, 235
6510542457, 0, -27, -1005, -4, 2, -2, 215, 258, 235
6510642373, 0, -22, -994, -4, 3, -1, 214, 255, 233
6510642373, 0, -22, -994, -4, 3, -1, 214, 255, 233
6510742445, 0, -23, -1000, -6, 4, -3, 214, 257, 236
6510742445, 0, -23, -1000, -6, 4, -3, 214, 257, 236
6510842482, 2, -24, -1003, -3, 3, -1, 215, 256, 236
6510842482, 2, -24, -1003, -3, 3, -1, 215, 256, 236
6510942493, -2, -32, -992, -4, 1, -4, 215, 251, 231
6510942493, -2, -32, -992, -4, 1, -4, 215, 251, 231
6511042391, -1, -33, -1000, -5, 2, -6, 215, 255, 236
6511042391, -1, -33, -1000, -5, 2, -6, 215, 255, 236
6511142434, -2, -28, -996, -4, 1, -3, 215, 256, 238
6511142434, -2, -28, -996, -4, 1, -3, 215, 256, 238
6511242383, -5, -23, -996, -4, 4, -5, 215, 258, 239
6511242383, -5, -23, -996, -4, 4, -5, 215, 258, 239
6511342454, -2, -29, -1001, -4, 4, -5, 216, 257, 240
6511342454, -2, -29, -1001, -4, 4, -5, 216, 257, 240
6511442488, 3, -28, -997, -2, 2, 0, 216, 257, 240
6511442488, 3, -28, -997, -2, 2, 0, 216, 257, 240
6511542437, -2, -27, -990, -3, 2, -3, 216, 256, 240
6511542437, -2, -27, -990, -3, 2, -3, 216, 256, 240
6511642471, -2, -27, -1003, -3, 3, -2, 216, 254, 240
6511642471, -2, -27, -1003, -3, 3, -2, 216, 254, 240
6511742432, -4, -34, -1008, -1, 4, 0, 216, 252, 237
6511742432, -4, -34, -1008, -1, 4, 0, 216, 252, 237
6511842442, 0, -34, -998, -2, 5, 0, 216, 249, 235
6511842442, 0, -34, -998, -2, 5, 0, 216, 249, 235
6511942437, 2, -27, -1002, -4, 4, 3, 217, 241, 227
6511942437, 2, -27, -1002, -4, 4, 3, 217, 241, 227
6512042491, 3, -36, -997, -5, 4, 12, 217, 241, 228
6512042491, 3, -36, -997, -5, 4, 12, 217, 241, 228
6512142447, -2, -36, -998, -5, 0, 7, 217, 250, 238
6512142447, -2, -36, -998, -5, 0, 7, 217, 250, 238
6512242463, -9, -28, -1007, -2, 1, 1, 217, 255, 244
6512242463, -9, -28, -1007, -2, 1, 1, 217, 255, 244
6512342540, 5, -25, -997, -3, 5, -3, 217, 255, 245
6512342540, 5, -25, -997, -3, 5, -3, 217, 255, 245
6512442823, 5, -43, -1001, -3, 2, 3, 217, 254, 244
6512442823, 5, -43, -1001, -3, 2, 3, 217, 254, 244
6512542438, -1, -36, -1000, -3, 0, 6, 217, 250, 241
6512542438, -1, -36, -1000, -3, 0, 6, 217, 250, 241
6512642438, -1, -25, -999, -1, 2, 4, 218, 246, 238
6512642438, -1, -25, -999, -1, 2, 4, 218, 246, 238
6512742380, -3, -30, -998, -3, 3, 4, 218, 252, 245
6512742380, -3, -30, -998, -3, 3, 4, 218, 252, 245
